title,review_structured,parsed_rate
HIPPOCAMPAL NEURONAL REPRESENTATIONS IN CONTINUAL LEARNING | OpenReview,"{""strengths"": [""Clear connection to established literature"", ""Use of novel analytical technique (dPCA)"", ""Comparison to standard reinforcement learning algorithms""], ""weaknesses"": [""Limited sample size of 612 neurons"", ""Dependence on rodent data may not generalize to humans"", ""Lack of discussion on potential confounding variables""]}",7.9
Single Deep Counterfactual Regret Minimization | OpenReview,"{""strengths"": [""theoretical improvement over Deep CFR"", ""empirical outperformance in poker"", ""scalability and generalization capabilities""], ""weaknesses"": [""reliance on deep learning requires significant computational resources"", ""potential for increased complexity in training"", ""may not generalize well to other types of games""]}",8.5
Training Deep Networks with Stochastic Gradient Normalized by Layerwise Adaptive Second Moments | OpenReview,"{""strengths"": [""Robust to learning rate choice"", ""Smaller memory footprint"", ""Comparable performance""], ""weaknesses"": []}",8.0
Scalable and Order-robust Continual Learning with Additive Parameter Decomposition | OpenReview,"{""strengths"": [""Scalable"", ""Order-robust"", ""Computation- and memory-efficient""], ""weaknesses"": [""May not be suitable for very large task sequences"", ""Limited to multiple benchmark datasets"", ""No discussion on handling class imbalance problems""]}",8.6
Under what circumstances do local codes emerge in feed-forward neural networks | OpenReview,"{""strengths"": [""Provides evidence for local coding schemes in feed-forward neural networks"", ""Highlights the importance of invariant features and training conditions in LC emergence"", ""Offers insights into the resilience of LCs to noise and tuning for interpretability""], ""weaknesses"": [""Limited to feed-forward NNs and pseudo-deep networks"", ""May not be generalizable to other types of neural networks"", ""Does not provide clear explanations for the lack of LCs in deep-CNNs""]}",8.5
ROS-HPL: Robotic Object Search with Hierarchical Policy Learning and Intrinsic-Extrinsic Modeling | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
Tensor Graph Convolutional Networks for Prediction on Dynamic Graphs | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
Toward Amortized Ranking-Critical Training For Collaborative Filtering | OpenReview,"{""strengths"": [""Novel application of actor-critic reinforcement learning to collaborative filtering"", ""Amortized scoring process improves efficiency"", ""Improved performance on large-scale datasets""], ""weaknesses"": [""Limited explanation of ranking-based metrics"", ""Comparison to traditional learning-to-rank methods is not detailed"", ""Potential for suboptimal approximation of ranking scores""]}",8.7
Mixture Density Networks Find Viewpoint the Dominant Factor for Accurate Spatial Offset Regression | OpenReview,"{""strengths"": [""Addressing viewpoint variation as a dominant factor"", ""Applying MDN for efficient multi-modality"", ""Improving localization accuracy in 2D human pose estimation""], ""weaknesses"": [""Variance in scale and clutter as a limitation"", ""Potential instability in training with MDN parameters"", ""Applicability to other tasks may be limited""]}",8.3
Is There Mode Collapse? A Case Study on Face Generation and Its Black-box Calibration | OpenReview,"{""strengths"": [""Devised statistical tools for quantitative mode collapse measurement"", ""Presented simple black-box methods for GAN calibration"", ""Strong empirical results on state-of-the-art GANs""], ""weaknesses"": [""Limited scope to low-level perceptual quality metrics"", ""Small-scale qualitative diversity tests may not be representative"", ""Potential need for further analysis of model parameters""]}",8.4
Variance Reduced Local SGD with Lower Communication Complexity | OpenReview,"{""strengths"": [""theoretical proof of linear iteration speedup"", ""experiments on diverse tasks"", ""impressive performance over Local SGD""], ""weaknesses"": [""communication complexity remains high"", ""potential dependency on gradient variance"", ""limited evaluation of non-identical data scenarios""]}",8.5
Improving SAT Solver Heuristics with Graph Networks and Reinforcement Learning | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
AdvCodec: Towards A Unified Framework for Adversarial Text Generation | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
Emergent Communication in Networked Multi-Agent Reinforcement Learning | OpenReview,"{""strengths"": [""Proposes a framework for emergent communication in MARL"", ""Demonstrates the utility of communication in networks"", ""Studies emergent language in a networked MARL setting""], ""weaknesses"": []}",8.0
Few-shot Learning by Focusing on Differences | OpenReview,"{""strengths"": [""Differentiates data based on differences between class representations"", ""Improves performance on fine-grained classification datasets"", ""Competitive performance on standard benchmarks""], ""weaknesses"": []}",8.0
Consistency Regularization for Generative Adversarial Networks | OpenReview,"{""strengths"": [""Simple and effective training stabilizer"", ""Improves robustness to input perturbations"", ""Compatible with various GAN architectures""], ""weaknesses"": [""Limited applicability to non-GAN architectures"", ""May require significant computational resources"", ""May not be effective for complex GAN variants""]}",8.5
Learning to Reach Goals Without Reinforcement Learning | OpenReview,"{""strengths"": [""Simple algorithm"", ""Effective for goal-reaching problems"", ""Theoretical result linking self-supervised imitation learning and reinforcement learning""], ""weaknesses"": [""Limited to goal-reaching problems"", ""No exploration of novel actions"", ""Requires large amount of data""]}",8.5
Near-Zero-Cost Differentially Private Deep Learning with Teacher Ensembles | OpenReview,"{""strengths"": [""Novel voting mechanism"", ""Improved scalability"", ""Stronger privacy guarantees""], ""weaknesses"": [""Dependence on specific conditions"", ""Potential for significant noising"", ""Limited generalizability""]}",8.5
RoBERTa: A Robustly Optimized BERT Pretraining Approach | OpenReview,"{""strengths"": [""replication study"", ""careful analysis of hyperparameters"", ""state-of-the-art results""], ""weaknesses"": [""overemphasis on BERT"", ""undertraining of BERT"", ""questionable improvement claims""]}",8.5
Data-Independent Neural Pruning via Coresets | OpenReview,"{""strengths"": [""Improves model compression rate"", ""Provides provable trade-off between compression rate and approximation error"", ""Applicable to various neural network architectures""], ""weaknesses"": []}",8.5
Zero-Shot Out-of-Distribution Detection with Feature Correlations | OpenReview,"{""strengths"": [""Proposes novel approach to OOD detection"", ""Does not require OOD data for hyperparameter tuning or parameter inference"", ""Generally performs better than or equal to state-of-the-art methods""], ""weaknesses"": [""May not generalize well to new, unseen data distributions"", ""Assumes pre-trained softmax classifier, may not be compatible with other architectures"", ""Requires pairwise feature correlation analysis, may be computationally expensive""]}",8.2
CGT: Clustered Graph Transformer for Urban Spatio-temporal Prediction | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
The Gambler*s Problem and Beyond | OpenReview,"{""strengths"": [""Unique mathematical approach"", ""Novel analysis of a classic problem"", ""Potential impact on real applications""], ""weaknesses"": [""Limited scope of the problem"", ""Technical complexity may be daunting for some readers"", ""Lack of concrete experimental results""]}",8.0
Blockwise Self-Attention for Long Document Understanding | OpenReview,"{""strengths"": [""Improves memory efficiency"", ""Enhances training speed"", ""Maintains comparable accuracy""], ""weaknesses"": []}",8.3
Domain Adaptive Multiflow Networks | OpenReview,"{""strengths"": [""flexible domain adaptation approach"", ""can handle multiple domains simultaneously"", ""allows for varying computational resources per domain""], ""weaknesses"": [""potential overfitting due to varying processing"", ""limited applicability to complex domains"", ""no clear explanation of computational sequence""]}",8.5
Generative Cleaning Networks with Quantized Nonlinear Transform for Deep Neural Network Defense | OpenReview,"{""strengths"": [""new generative cleaning network"", ""quantized nonlinear transform"", ""outperforms state-of-the-art methods""], ""weaknesses"": [""adversarial learning may not generalize well"", ""limited experimental results on other datasets"", ""attack detector network may be complex""]}",9.2
Unifying Graph Convolutional Networks as Matrix Factorization | OpenReview,"{""strengths"": [""Unifies GCN with matrix factorization"", ""Proposes alternative model CUMF with improved performance"", ""Inherents benefits of MF-based methods for distributed computing""], ""weaknesses"": [""Limited applicability to non-graph data"", ""Dependence on correct theoretical analysis"", ""Potential complexity of CUMF model architecture""]}",8.5
Diverse Trajectory Forecasting with Determinantal Point Processes | OpenReview,"{""strengths"": [""Novel application of determinantal point process"", ""Diversity in trajectory forecasting"", ""Potential for safety-critical perception systems""], ""weaknesses"": [""Complexity of DPP parameter estimation"", ""Dependence on generative model"", ""Potential for mode collapse""]}",8.5
The Sooner The Better: Investigating Structure of Early Winning Lottery Tickets | OpenReview,"{""strengths"": [""Provides new insights into the structure of winning lottery tickets"", ""Discovers early winning tickets with high accuracy"", ""Contributes to the understanding of the lottery ticket hypothesis""], ""weaknesses"": [""Dependence on iterative pruning for validation"", ""Limited scope to other architectures"", ""Potential for overfitting with excessive pruning""]}",8.4
Attention over Phrases | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
Winning the Lottery with Continuous Sparsification | OpenReview,"{""strengths"": [""Improves search efficiency"", ""Enhances transfer learning"", ""Increases model sparsity""], ""weaknesses"": [""May require significant computational resources"", ""May not generalize well to other problems"", ""Potential overfitting issues""]}",8.5
Revisiting the Generalization of Adaptive Gradient Methods | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
"If MaxEnt RL is the Answer, What is the Question? | OpenReview","{""strengths"": [], ""weaknesses"": []}",
A?MCTS: SEARCH WITH THEORETICAL GUARANTEE USING POLICY AND VALUE FUNCTIONS | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
Improved Detection of Adversarial Attacks via Penetration Distortion Maximization | OpenReview,"{""strengths"": [""Improves upon existing defense methods"", ""Separates class clusters in embedding space"", ""Scalable for integration with existing models""], ""weaknesses"": [""Lacks evaluation on diverse attack types"", ""May not generalize to other domains"", ""Potential for overfitting to specific models""]}",8.0
Behavior Regularized Offline Reinforcement Learning | OpenReview,"{""strengths"": [""clearly identifies a need for offline RL methods"", ""proposes a general framework for evaluation"", ""empirical evaluation of baselines and proposed methods""], ""weaknesses"": [""limited scope of tasks evaluated"", ""potential for overfitting in ablation study"", ""may not generalize well to more complex environments""]}",8.0
LocalGAN: Modeling Local Distributions for Adversarial Response Generation | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
Biologically inspired sleep algorithm for increased generalization and adversarial robustness in deep neural networks | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
On the Convergence of FedAvg on Non-IID Data | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
ReClor: A Reading Comprehension Dataset Requiring Logical Reasoning | OpenReview,"{""strengths"": [""proposed a new Reading Comprehension dataset requiring logical reasoning"", ""provides empirical results to evaluate the logical reasoning ability of models"", ""emphasizes the need for more research on logical reasoning""], ""weaknesses"": [""may contain biases in the dataset"", ""struggles of state-of-the-art models on the HARD set"", ""lacks comprehensive evaluation of logical reasoning ability""]}",7.8
Context-Gated Convolution | OpenReview,"{""strengths"": [""Improves CNN performance in multiple tasks"", ""Explicitly models context for local feature extraction"", ""Lightweight and compatible with modern CNN architectures""], ""weaknesses"": [""May require significant additional computational resources"", ""Potential for over-smoothing of local features"", ""Limited applicability to tasks requiring high spatial resolution""]}",8.5
Cross-Iteration Batch Normalization | OpenReview,"{""strengths"": [""Improves batch normalization performance with small mini-batch sizes"", ""Compensates for network weight changes"", ""Enhances estimation quality of statistics""], ""weaknesses"": []}",8.7
IS THE LABEL TRUSTFUL: TRAINING BETTER DEEP LEARNING MODEL VIA UNCERTAINTY MINING NET | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
Skew-Fit: State-Covering Self-Supervised Reinforcement Learning | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
Variational Template Machine for Data-to-Text Generation | OpenReview,"{""strengths"": [""Novel approach to learning reusable templates"", ""Improves diversity in text generation"", ""Utilizes both small and large datasets""], ""weaknesses"": [""Lacks detailed explanation of template disentanglement"", ""May require significant computational resources"", ""Limited domain adaptation capabilities""]}",8.2
Implicit competitive regularization in GANs | OpenReview,"{""strengths"": [""Improves stability of GANs"", ""Minimizes mode collapse"", ""Achieves consistent performance""], ""weaknesses"": [""May not work for all loss functions"", ""Can be computationally expensive"", ""May not generalize well to other datasets""]}",8.5
On Evaluating Explainability Algorithms | OpenReview,"{""strengths"": [""proposes multifaceted metrics"", ""enables objective comparison"", ""evaluates common explainers""], ""weaknesses"": [""no clear innovation"", ""limited evaluation on specific applications"", ""reliance on existing metrics""]}",8.2
You CAN Teach an Old Dog New Tricks! On Training Knowledge Graph Embeddings | OpenReview,"{""strengths"": [""Clear comparison of various KGE models"", ""Experimental results provide quantitative insights"", ""Challenging existing state-of-the-art models""], ""weaknesses"": [""Limited scope of model architectures and training strategies"", ""Dependence on hyperparameter tuning"", ""Lack of detailed discussion on theoretical implications""]}",8.5
PowerSGD: Powered Stochastic Gradient Descent Methods for Accelerated Non-Convex Optimization | OpenReview,"{""strengths"": [""Improved initial training speed"", ""Comparable generalization ability"", ""Robustness to hyper-parameter selection""], ""weaknesses"": []}",8.0
BERTScore: Evaluating Text Generation with BERT | OpenReview,"{""strengths"": [""novel approach to evaluation"", ""better correlation with human judgments"", ""robust to challenging examples""], ""weaknesses"": [""limited to machine translation and image captioning systems"", ""may not generalize to other NLP tasks"", ""computationally expensive""]}",8.5
Global reasoning network for image super-resolution | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
Self-Supervised Speech Recognition via Local Prior Matching | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
Identity Crisis: Memorization and Generalization Under Extreme Overparameterization | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
"A critical analysis of self-supervision, or what we can learn from a single image | OpenReview","{""strengths"": [], ""weaknesses"": []}",
Learning Likelihoods with Conditional Normalizing Flows | OpenReview,"{""strengths"": [""Improves handling of inter-dimensional correlations"", ""Suitable for multivariate structured prediction tasks"", ""Efficient in sampling and inference""], ""weaknesses"": [""Difficult to train for complex distributions"", ""Mode collapse is still a potential issue"", ""Limited applicability to non-binary problems""]}",8.2
{COMPANYNAME}11K: An Unsupervised Representation Learning Dataset for Arrhythmia Subtype Discovery | OpenReview,"{""strengths"": [""Large dataset"", ""Semi-supervised learning approach"", ""Potential for subtype discovery""], ""weaknesses"": [""Lack of human annotation details"", ""Unclear baseline feature extractors"", ""Limited qualitative evaluation scope""]}",8.5
MobileBERT: Task-Agnostic Compression of BERT by Progressive Knowledge Transfer | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
GraphSAINT: Graph Sampling Based Inductive Learning Method | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
Using Objective Bayesian Methods to Determine the Optimal Degree of Curvature within the Loss Landscape | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
End to End Trainable Active Contours via Differentiable Rendering | OpenReview,"{""strengths"": [""Differentiable rendering of active contours"", ""Outperforms state-of-the-art segmentation networks"", ""Variety of benchmarks tested""], ""weaknesses"": [""Potential complexity of encoder-decoder architecture"", ""May require significant computational resources"", ""Limited evaluation on diverse datasets""]}",8.7
SLM Lab: A Comprehensive Benchmark and Modular Software Framework for Reproducible Deep Reinforcement Learning | OpenReview,"{""strengths"": [""Modular design allows for reproducibility and scalability"", ""Provides hyperparameter search and result analysis"", ""Supports synchronous and asynchronous parallel experiment execution""], ""weaknesses"": [""May be resource-intensive due to parallel execution"", ""Limited to discrete-action variants of popular algorithms"", ""Dependence on specific implementation details""]}",8.4
Insights on Visual Representations for Embodied Navigation Tasks | OpenReview,"{""strengths"": [""Provides valuable insights into the overfitting of representations in RL"", ""Offers suggestions for designing tasks that induce task-agnostic representations"", ""Demonstrates the effectiveness of transfer learning in RL""], ""weaknesses"": [""Does not explicitly discuss the impact of task complexity on representation learning"", ""Lacks a clear explanation of the PWCCA methodology"", ""The results may be difficult to generalize to other deep learning architectures""]}",8.0
Stochastic Weight Averaging in Parallel: Large-Batch Training That Generalizes Well | OpenReview,"{""strengths"": [""Improves generalization performance"", ""Reduces training time"", ""Can be applied to large datasets""], ""weaknesses"": [""May not work well with small models"", ""Requires significant computational resources"", ""Dependence on large mini-batch size""]}",8.2
Non-Autoregressive Dialog State Tracking | OpenReview,"{""strengths"": [""Improves upon auto-regressive approaches"", ""Enables parallel decoding for reduced latency"", ""Detects dependencies among slots and domains""], ""weaknesses"": [""Dependence on domain and slot dependencies may be complex"", ""Requires large amounts of data for training"", ""Potential for overfitting""]}",8.5
Improving Semantic Parsing with Neural Generator-Reranker Architecture | OpenReview,"{""strengths"": [""proposes a novel generator-reranker architecture"", ""achieves state-of-the-art results in all three datasets"", ""improves parsing performance""], ""weaknesses"": [""no discussion of potential limitations"", ""no experimental results for baselines"", ""no discussion of potential applications beyond semantic parsing""]}",8.8
Quantum Optical Experiments Modeled by Long Short-Term Memory | OpenReview,"{""strengths"": [""Novel application of LSTM for quantum physics"", ""Significant improvement over random search"", ""Potential for automated design of quantum experiments""], ""weaknesses"": [""Limited exploration of experimental validation"", ""Dependence on quality of training data"", ""Potential complexity in interpreting results""]}",8.5
Attention over Parameters for Dialogue Systems | OpenReview,"{""strengths"": [""Proposed a new approach to learn dialogue systems"", ""Competitive performance on multiple datasets"", ""Demonstrated selective responses""], ""weaknesses"": [""Limited explanation of Attention over Parameters"", ""No discussion of overfitting"", ""No evaluation of generalizability""]}",8.5
Selfish Emergent Communication | OpenReview,"{""strengths"": [""Introduces a new sender-receiver game"", ""Identifies key factors for improving emergent communication"", ""Discusses the effectiveness of LOLA protocol""], ""weaknesses"": [""Limited scope to partially-competitive scenarios"", ""May not be applicable to fully competitive scenarios"", ""Potential lack of exploration of alternative protocols""]}",8.3
Representing Model Uncertainty of Neural Networks in Sparse Information Form | OpenReview,"{""strengths"": [""Novel Laplace Approximation scheme"", ""Scalable method for model uncertainty"", ""Empirical evaluation on benchmark data sets""], ""weaknesses"": [""Computational complexity"", ""Memory efficiency limitations"", ""Low-rank approximation assumption""]}",8.5
Boosting Network: Learn by Growing Filters and Layers via SplitLBI | OpenReview,"{""strengths"": [""proposed method can grow and train a network progressively"", ""simultaneously adds both convolutional filters and layers"", ""effective on VGG and ResNets""], ""weaknesses"": [""requires iterative sparse regularization path"", ""potential need for expert-level efforts"", ""computational cost might be prohibitive""]}",8.5
SNODE: Spectral Discretization of Neural ODEs for System Identification | OpenReview,"{""strengths"": [""Novel approach to training ODE-Nets"", ""Improved efficiency using spectral element methods"", ""Potential for generalization capabilities""], ""weaknesses"": [""Limited applicability to large-scale systems"", ""Computational complexity of coordinate descent"", ""Dependence on choice of Legendre polynomials""]}",8.0
Never Give Up: Learning Directed Exploration Strategies | OpenReview,"{""strengths"": [""Improves exploration in hard exploration games"", ""Demonstrates transfer from exploratory to exploitative policies"", ""Achieves non-zero rewards in challenging game""], ""weaknesses"": [""Dependence on experience replay buffer"", ""Potential for over-reliance on self-supervised inverse dynamics model"", ""Limited applicability to non-RL environments""]}",8.8
Neural Subgraph Isomorphism Counting | OpenReview,"{""strengths"": [""proposed DIAMNet architecture is innovative"", ""can learn to count large patterns and data graphs in polynomial time"", ""can improve existing representation learning models""], ""weaknesses"": [""learning based approach is inexact"", ""require more computational resources"", ""may not handle complex graphs""]}",8.5
Modeling treatment events in disease progression | OpenReview,"{""strengths"": [""uses machine learning framework"", ""analyzes disease progression"", ""demonstrates effectiveness with simulated and real datasets""], ""weaknesses"": [""does not account for events in-between observations"", ""may be affected by confounding events"", ""limited to sparse observations""]}",8.0
Channel Equilibrium Networks | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
Frequency-based Search-control in Dyna | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
Dynamic Sparse Training: Find Efficient Sparse Network From Scratch With Trainable Masked Layers | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
Meta-Learning by Hallucinating Useful Examples | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
Multi-scale Attributed Node Embedding | OpenReview,"{""strengths"": [""Captures attribute-neighborhood relationships over multiple scales"", ""Robust and computationally efficient"", ""Outperforms comparable models""], ""weaknesses"": [""Depends on quality of random walks"", ""May not generalize well to very large networks"", ""Requires significant computational resources""]}",8.5
Likelihood Contribution based Multi-scale Architecture for Generative Flows | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
Meta-Learning Runge-Kutta | OpenReview,"{""strengths"": [""Improves upon traditional approaches"", ""Mitigates sudden spikes in local error function"", ""Incorporates valuable additional information from partial derivatives""], ""weaknesses"": [""Dependence on deep network design"", ""Risk of overfitting due to complex features"", ""Potential need for large datasets to train MLRK""]}",8.3
Disentangling Trainability and Generalization in Deep Learning | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
Learning To Explore Using Active Neural Mapping | OpenReview,"{""strengths"": [""combines classical and learning-based methods"", ""leverages structural regularities of the world"", ""provides robustness to errors in state estimation""], ""weaknesses"": [""high sample complexities associated with training end-to-end policies"", ""no mention of robustness in physical environments"", ""no discussion of handling exploration noise""]}",8.5
Learning RNNs with Commutative State Transitions | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
Weight-space symmetry in neural network loss landscapes revisited | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
Anomalous Pattern Detection in Activations and Reconstruction Error of Autoencoders | OpenReview,"{""strengths"": [""Improves anomaly detection in autoencoders without retraining"", ""Provides visualization of anomalous nodes in reconstruction error space"", ""Shows applicability to various untargeted adversarial noise models""], ""weaknesses"": [""Limited applicability to other types of machine learning models"", ""Dependence on quality of autoencoder architecture"", ""Potential need for additional tuning of parameters""]}",8.2
An Empirical Study on Post-processing Methods for Word Embeddings | OpenReview,"{""strengths"": [""Clear hypothesis"", ""Specific application of CKA"", ""Improved performance on downstream tasks""], ""weaknesses"": [""Lack of detailed experimental results"", ""No discussion on generalizability"", ""Dependence on specific objective""]}",8.0
FasterSeg: Searching for Faster Real-time Semantic Segmentation | OpenReview,"{""strengths"": [""Automatically designed network"", ""State-of-the-art performance"", ""Faster speed than current methods""], ""weaknesses"": [""Prone to collapsing to low-latency yet poor-accuracy models"", ""May require significant computational resources"", ""Not explicitly tested on diverse datasets""]}",8.8
Policy Optimization with Stochastic Mirror Descent | OpenReview,"{""strengths"": [""novel approach to policy gradient methods"", ""variance reduced policy gradient estimator"", ""matches the best-known sample complexity""], ""weaknesses"": [""limited experimental details"", ""no clear comparison to baseline methods"", ""potential overfitting risk""]}",8.5
White Box Network: Obtaining a right composition ordering of functions | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
RTC-VAE: HARNESSING THE PECULIARITY OF TOTAL CORRELATION IN LEARNING DISENTANGLED REPRESENTATIONS | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
X-Forest: Approximate Random Projection Trees for Similarity Measurement | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
Adversarial Example Detection and Classification with Asymmetrical Adversarial Training | OpenReview,"{""strengths"": [""asymmetrical adversarial training"", ""provides performance guarantee to the adversary"", ""generative detection/classification approaches are both robust and more interpretable""], ""weaknesses"": [""limited evaluation of adversarial detection problem"", ""potential for overfitting"", ""dependency on the attacker's obliviousness to detection mechanism""]}",8.0
Certifying Distributional Robustness using Lipschitz Regularisation | OpenReview,"{""strengths"": [""provides a certificate of robustness for the worst-case population loss"", ""provides a certificate for adversarial training"", ""achieves global solutions on product kernel machines in polynomial time""], ""weaknesses"": [""restricted to linear models or small perturbations"", ""cannot find the globally optimal solution for restricted nonlinear models""]}",8.5
Understanding and Stabilizing GANs* Training Dynamics with Control Theory | OpenReview,"{""strengths"": [""Provides a unified perspective on GAN training dynamics using control theory"", ""Empirically verifies the proposed method on synthetic and natural image datasets"", ""Demonstrates stabilization of training dynamics and convergence better than baselines""], ""weaknesses"": [""Limited applicability to other types of GANs"", ""Does not discuss potential limitations of the control theory approach"", ""May not generalize well to other tasks or domains""]}",8.4
